team,video_title,content_type,message_theme,published_date,view_count,engagement_rate,negative_comment_pct,avg_comment_sentiment,monitoring_priority
Golden State Warriors,The 55th Pick in the Draft Wasn't Supposed To Be THIS Good,Other,Rookie/Development,2026-05-26,44487,0.103,0.06,0.53,High Engagement
Oklahoma City Thunder,Chet Holmgren | 2025-26 End-of-Season Interviews | OKC Thunder,Interview/Press,General Team Content,2026-05-31,36520,0.0127,0.34,0.047,High Negative Sentiment
Los Angeles Lakers,Austin with the SLAM #lakers #NBAPlayoffs,Shorts,Playoff Stakes,2026-05-10,31917,0.0263,0.4333,-0.26,High Negative Sentiment
Golden State Warriors,Gui Santos' Journey Has Been Special to Watch | #shorts,Shorts,General Team Content,2026-05-19,20267,0.0961,0.1111,0.3389,High Engagement
Golden State Warriors,Mike Dunleavy Press Conference | Offseason Preview,Interview/Press,General Team Content,2026-05-15,16130,0.0281,0.34,0.329,High Negative Sentiment
New York Knicks,🎱 put on a dunking clinic in game 4 #nba #nyknicks #nbaplayoffs #oganunoby,Other,Playoff Stakes,2026-05-26,15566,0.0621,0.36,-0.032,High Negative Sentiment
Golden State Warriors,Mo Money is Always Ready 👀 | #shorts,Shorts,General Team Content,2026-05-15,14637,0.098,0.4286,0.0393,High Engagement / High Negative Sentiment
New York Knicks,Eleven straight wins. Still hungry for more. #nba #nyknicks #nbaplayoffs,Other,Playoff Stakes,2026-05-27,11835,0.0982,0.2,0.1825,High Engagement
Oklahoma City Thunder,Alex Caruso | 2025-26 End-of-Season Interviews | OKC Thunder,Interview/Press,General Team Content,2026-05-31,9368,0.0161,0.38,0.047,High Negative Sentiment
Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,Shorts,General Team Content,2026-05-28,9308,0.0529,0.4286,-0.1429,High Negative Sentiment
New York Knicks,focused on the details. #nyknicks #nba #basketballshorts,Shorts,General Team Content,2026-05-25,8932,0.108,0.0952,0.0286,High Engagement
Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,Shorts,General Team Content,2026-05-27,4682,0.1632,0.1667,0.425,High Engagement
Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",Shorts,General Team Content,2026-05-23,4603,0.1208,0.1667,0.2083,High Engagement
Boston Celtics,JT's comeback was greater than the setback 💪 #celtics #nba #shorts,Shorts,Star Player,2026-06-01,4293,0.1223,0.3571,-0.1857,High Engagement / High Negative Sentiment
Oklahoma City Thunder,Nikola Topić | 2025-26 End-of-Season Interviews | OKC Thunder,Interview/Press,General Team Content,2026-05-31,2434,0.0136,0.5,0.1458,High Negative Sentiment
New York Knicks,Steve Novak hopped on the hoop bus to make sure fans were in their bag for the finals @DoorDash,Other,Playoff Stakes,2026-06-02,2209,0.1114,0.1111,0.1,High Engagement
Boston Celtics,Luka Garza FULL SEASON 2025-2026 Highlights,Highlights/Recap,Star Player,2026-06-01,573,0.1187,0.3333,0.2111,High Engagement
