video_id,team,team_abbreviation,conference,channel_name,channel_id,channel_title,video_title,video_description,published_at,published_date,published_hour,published_month,duration,content_type,message_theme,view_count,like_count,comment_count,like_count_clean,comment_count_clean,engagement_count,engagement_rate,likes_per_1k_views,comments_per_1k_views,views_per_day,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct,sentiment_bucket,monitoring_priority
7FEI5EuW9pk,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Luka Garza FULL SEASON 2025-2026 Highlights,"Every minute mattered. Luka Garza brought toughness, energy, and buckets whenever his name was called all season long.",2026-06-01T23:00:05Z,2026-06-01,23,2026-06-01,PT14M31S,Highlights/Recap,Star Player,573,51,17,51,17,68,0.11867364746945899,89.00523560209423,29.66841186736475,114.6,9,0.2111111111111111,0.4444444444444444,0.2222222222222222,0.3333333333333333,Positive,High Engagement
vD0EHRSfH2I,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,JT's comeback was greater than the setback 💪 #celtics #nba #shorts,JT's comeback was greater than the setback #celtics #nba #shorts.,2026-06-01T22:01:01Z,2026-06-01,22,2026-06-01,PT44S,Shorts,Star Player,4293,507,18,507,18,525,0.1222921034241789,118.09923130677848,4.1928721174004195,858.6,14,-0.18571428571428572,0.2857142857142857,0.35714285714285715,0.35714285714285715,Negative,High Engagement / High Negative Sentiment
Cy-wVIqe4Eo,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,"New city, new chapter. Hugo González showed flashes all season long with energy, toughness, and big-time potential. Head to ...",2026-05-30T18:00:10Z,2026-05-30,18,2026-05-01,PT16M29S,Highlights/Recap,General Team Content,1590,92,9,92,9,101,0.06352201257861635,57.861635220125784,5.660377358490566,227.14285714285714,9,0.12222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,Neutral,Standard
nrY9QsI1h4M,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,"From hustle plays to breakout moments, Jordan Walsh made the most of every opportunity in 25/26. Check out his full season ...",2026-05-28T23:00:06Z,2026-05-28,23,2026-05-01,PT24M6S,Highlights/Recap,General Team Content,1298,54,6,54,6,60,0.046224961479198766,41.60246533127889,4.622496147919877,144.22222222222223,5,0.39,0.4,0.6,0,Positive,Standard
jpVaQbN7Tso,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,Every game tells a story #celtics #nba #shortrs.,2026-05-28T14:00:00Z,2026-05-28,14,2026-05-01,PT8S,Shorts,General Team Content,9308,470,22,470,22,492,0.052857756768371296,50.494198538891276,2.363558229480017,1034.2222222222222,14,-0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,Neutral,High Negative Sentiment
5ibmx6KYoaU,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,Neemi went next level this season #celtics #nba #shorts.,2026-05-27T14:00:02Z,2026-05-27,14,2026-05-01,PT46S,Shorts,General Team Content,4682,747,17,747,17,764,0.16317812900469886,159.54720205040582,3.630926954293037,468.2,6,0.425,0.5,0.3333333333333333,0.16666666666666666,Positive,High Engagement
w6isG_ex59M,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,"Sam Hauser is ""Haus Money"" from 3 Check out some highlights from his 30 PTS game against Atlanta at 9:27 ______ ...",2026-05-26T21:00:23Z,2026-05-26,21,2026-05-01,PT21M12S,Highlights/Recap,General Team Content,843,54,12,54,12,66,0.07829181494661921,64.05693950177937,14.234875444839856,76.63636363636364,11,0.09545454545454546,0.2727272727272727,0.4545454545454546,0.2727272727272727,Neutral,Standard
04F0ex8JSn8,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,Robert Parish let his fists fly on Bill Laimbeer during Game 5 of the 1987 Eastern Conference Finals between the Boston Celtics ...,2026-05-26T17:04:17Z,2026-05-26,17,2026-05-01,PT3M53S,Other,Playoff Stakes,1017,57,6,57,6,63,0.061946902654867256,56.04719764011799,5.899705014749262,92.45454545454545,5,0.4,0.6,0.2,0.2,Positive,Standard
_od_DR7NUVA,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,Payton Pritchard aka the Buzzer Beater King took on a big role this year and he showed up 40:23 Buzzer beaters 48:55 Lakers ...,2026-05-24T12:30:05Z,2026-05-24,12,2026-05-01,PT1H13M10S,Highlights/Recap,General Team Content,1837,80,10,80,10,90,0.04899292324442025,43.54926510615133,5.443658138268916,141.30769230769232,9,0.6333333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,Positive,Standard
voQCd53zWtE,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts","Framing moments, one at a time 🎞️ #celtics #nba #shorts.",2026-05-23T13:00:02Z,2026-05-23,13,2026-05-01,PT14S,Shorts,General Team Content,4603,543,13,543,13,556,0.12079078861611992,117.96654355854876,2.824245057571149,328.7857142857143,12,0.20833333333333337,0.3333333333333333,0.5,0.16666666666666666,Positive,High Engagement
