video_id,team,team_abbreviation,conference,channel_id,channel_title,video_title,video_description,published_at,published_date,published_hour,published_month,duration,content_type,message_theme,view_count,like_count,comment_count,like_count_clean,comment_count_clean,engagement_count,engagement_rate,likes_per_1k_views,comments_per_1k_views,views_per_day,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct,sentiment_bucket,monitoring_priority
VSXCmpi6tT0,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Bro called game at Jr. Hawks Summer Camp 🤯,"Overtime, next basket wins, you love to see it!",2026-06-09T19:55:16Z,2026-06-09,19,2026-06-01,PT22S,Shorts,General Team Content,1978,47,3,47,3,50,0.025278058645096056,23.76137512639029,1.5166835187057635,1978,2,-0.375,0,0.5,0.5,Negative,Standard
59w-_ELOosM,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Keri got a record deal at 17 years old 😳,Check out the full episode of Hawks AF!,2026-05-21T14:01:03Z,2026-05-21,14,2026-05-01,PT33S,Shorts,General Team Content,1859,65,3,65,3,68,0.03657880580957504,34.96503496503497,1.6137708445400754,97.84210526315789,3,0.36666666666666664,0.6666666666666666,0.3333333333333333,0,Positive,Standard
S898OlNfXfo,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Keri Hilson could dunk high school ⁉️,Full episode is out now!,2026-05-20T20:30:38Z,2026-05-20,20,2026-05-01,PT29S,Shorts,General Team Content,27787,758,18,758,18,776,0.027926728326195704,27.278943390794257,0.6477849354014468,1389.35,13,0.33076923076923076,0.38461538461538464,0.6153846153846154,0,Positive,Standard
6BpIlt33RB4,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,"Keri Hilson on how love, drama, & redemption shaped her first solo album in 15 years | Hawks AF","Decatur's finest Keri Hilson joins DC on the Hawks AF set for a heartfelt conversation about her life and career. Opening up about her first solo album in 15 years, she tells stories about love, drama, and redemption and how each of them played out during this window of her life and impacted the music she created.

0:00 Intro
3:30 Playing hoops in high school
4:30 Story behind first record deal
7:00 Life experiences during time away from music
11:20 The meaningful phone call shaping the album
13:15 What she learned making this album
16:00 What redemption means to her
17:17 No skips!
18:30 A song she thinks is underrated
22:20 Advice to young women
25:15 What's next for Keri

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks #HawksAF 

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-20T20:03:56Z,2026-05-20,20,2026-05-01,PT28M23S,Other,General Team Content,1556,86,9,86,9,95,0.061053984575835475,55.26992287917738,5.784061696658098,77.8,9,0.5722222222222222,0.5555555555555556,0.3333333333333333,0.1111111111111111,Positive,Standard
mpAOdmL534U,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Best of Jonathan Kuminga 😱 | 25-26 Season,"Jonathan Kuminga brought the energy to the 🅰️

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-16T17:00:55Z,2026-05-16,17,2026-05-01,PT2M35S,Other,General Team Content,1820,72,15,72,15,87,0.0478021978021978,39.56043956043956,8.241758241758243,75.83333333333333,8,0.35,0.375,0.375,0.25,Positive,Standard
LaQsOhhKLYs,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Best of CJ McCollum 🔥 | 25-26 Season,"Vet presence & Vet buckets 🫡

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-15T18:34:45Z,2026-05-15,18,2026-05-01,PT4M29S,Other,General Team Content,1019,35,8,35,8,43,0.042198233562315994,34.34739941118744,7.850834151128557,40.76,5,0.5,0.6,0.4,0,Positive,Standard
nnwK9VImKps,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,"Storm Reid on going to college after winning an Emmy, her music dreams, & Atlanta roots | Hawks AF","Emmy Award-winning actress Storm Reid joins DC Young Fly on the newest episode of Hawks AF! The two Atlanta natives discuss Storm's success as a young actress, her decision to go to college after several big projects & an Emmy win, her desire to make music, and how everything ties back to her family & community in Atlanta.

0:00 Intro
2:00 Representing Atlanta on a global stage
3:00 Music dreams
5:55 Moment she realized she made it
7:35 Advice from Oprah
9:00 Her college experience
11:45 What draws her to a role
12:45 What she'd do if not acting

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks #HawksAF 

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-13T20:01:36Z,2026-05-13,20,2026-05-01,PT15M56S,Other,General Team Content,1340,82,7,82,7,89,0.0664179104477612,61.19402985074627,5.223880597014926,49.629629629629626,7,0.7285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,Positive,Standard
x5yqide-DpM,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Happy Mother’s Day y’all ❤️💐 #mom #mothersday #jalenjohnson #hawks #nba,Mom is always right!,2026-05-10T14:01:24Z,2026-05-10,14,2026-05-01,PT7S,Shorts,Star Player,4988,273,8,273,8,281,0.05633520449077787,54.73135525260626,1.6038492381716118,166.26666666666668,6,0.30833333333333335,0.5,0.5,0,Positive,Standard
7FMN8TJeZ3U,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Managing Stress: A Group Discussion with Dr. Kensa Gunter | Youth Mental Wellness Series,"Stress is real. And it's okay to talk about it. 

In this episode of the Hawks At Home Youth Mental Wellness Series, Coach Step, Coach Narcis, and Dr. Kensa Gunter sit down for an open and honest conversation about managing stress. Together they share practical strategies, encourage healthy habits, and remind young people that talking about mental wellness isn't a sign of weakness — it's a sign of strength.

You're not alone in what you're feeling. 

Whether you're dealing with pressure at school, on the court, or at home — this conversation was made for you.

👇 Drop a comment below: What's one thing that helps you manage stress when life gets heavy?

Tags to consider:
#HawksAtHome #ManagingStress #YouthMentalWellness #AtlantaHawks #MentalHealth #StressRelief #YoungAthletes #Wellness

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-01T22:00:07Z,2026-05-01,22,2026-05-01,PT24M10S,Other,Playoff Stakes,182,7,1,7,1,8,0.04395604395604396,38.46153846153847,5.4945054945054945,4.666666666666667,1,0.30000000000000004,1,0,0,Positive,Standard
p9bz89QObPY,Atlanta Hawks,ATL,East,UCpfcwELvR1wtcRJ0UxNXHYw,Atlanta Hawks,Yoga with Coach Narcis | Hawks At Home Youth Mental Wellness Series,"Balance starts from within.

In this episode of the Hawks At Home Youth Mental Wellness Series, Coach Narcis leads a guided yoga flow designed specifically for youth — focused on improving balance, mobility, and body awareness. Through intentional movement and mindful breathing, participants will learn how to stay present, build confidence, and develop wellness habits that last far beyond the mat.

Every pose is a practice. Every breath is a reset. 

Whether you're a first-timer or finding your flow — this session meets you exactly where you are.

👇 Drop a comment below: What's one word that describes how you feel after you move your body?

#HawksAtHome #YouthMentalWellness #Yoga #AtlantaHawks #Balance #MindfulMovement #YoungAthletes #BodyAwareness

Subscribe to our channel ➡️ https://www.youtube.com/c/ATLHawks

#TrueToAtlanta #AtlantaHawks

Hawks Homepage: https://www.nba.com/hawks/
Hawks Shop: https://www.hawksshop.com
Hawks Tickets: https://www.nba.com/hawks/tickets
Hawks + State Farm Arena App: https://www.nba.com/hawks/app

Follow us on:
Twitter - https://www.twitter.com/atlhawks
Instagram - https://instagram.com/atlhawks
TikTok - https://www.tiktok.com/@atlhawks
Facebook - https://www.facebook.com/atlhawks
Snapchat - https://www.snapchat.com/add/atlhawks",2026-05-01T21:45:03Z,2026-05-01,21,2026-05-01,PT15M41S,Other,Playoff Stakes,131,5,0,5,0,5,0.03816793893129771,38.16793893129771,0,3.358974358974359,0,0,0,0,0,Neutral,Standard
